Edge Exclusive;Edge Operation;Edge Enhancement Ratio;Zero Point Calibration;Invert;Exposure Time A;Exposure Time B;Exposure Time (ms);Output Ref Voltage;Output node bias voltage;Analog output gain;Reg. Addr;0x001;;;;;;;;0x010;;;;;;;;0x011;;;;;;;;0x100;;;;;;;;0x101;;;;;;;;0x110;;;;;;;;0x111;;;;;;;;0x000;;;;;;;
N;VH1 VH0;E3 E2 E1 E0;Z1 Z0;I;C17 - C10;C07 - C00;C (all);O5 O4 O3 O2 O1 O0;V2 V1 V0;G4 G3 G2 G1 G0;Reg. Name;N;VH1;VH0;G4;G3;G2;G1;G0;C17;C16;C15;C14;C13;C12;C11;C10;C07;C06;C05;C04;C03;C02;C01;C00;P7;P6;P5;P4;P3;P2;P1;P0;M7;M6;M5;M4;M3;M2;M1;M0;X7;X6;X5;X4;X3;X2;X1;X0;E3;E2;E1;E0;I;V2;V1;V0;Z1;Z0;O5;O4;O3;O2;O1;O0
0;0;0;2;0;0;16;0,256;63;5;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;0;1;1;1;1;1;1
0;0;0;2;0;0;16;0,256;31;5;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;1;1;1;1;1
0;0;0;2;0;0;16;0,256;32;5;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;0;1;0;0;0;0;0
0;0;0;2;0;0;16;0,256;48;5;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;0;1;1;0;0;0;0
0;0;0;2;0;0;16;0,256;40;5;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;0;1;0;1;0;0;0
0;0;0;2;0;0;16;0,256;44;5;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;0;1;0;1;1;0;0
0;0;0;2;0;0;16;0,256;46;5;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;0;1;0;1;1;1;0
0;0;0;2;0;0;16;0,256;45;5;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;0;1;0;1;1;0;1
0;0;0;0;0;0;16;0,256;45;5;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;1;1;0;1
0;1;0;2;0;0;16;0,256;63;3;0;;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;1;1;1;1;1
0;1;0;2;0;0;16;0,256;31;3;0;;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;1;1;1;1;1
0;1;0;2;0;0;16;0,256;32;3;0;;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0
0;1;0;2;0;0;16;0,256;48;3;0;;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;1;0;0;0;0
